feature,importance,std,series
lag_1,0.779048005770129,0.02322355510106628,urban_001
promotion,0.4142324987973244,0.013091742595547302,urban_001
temperature,0.38599806143168414,0.014009765538052445,urban_001
lag_3,0.11655030797492605,0.004654435826774264,urban_001
lag_2,0.07068347381637594,0.0031572510804095187,urban_001
holiday_flag,0.005571283244704928,0.001122977456385635,urban_001
lag_1,0.7883834248647624,0.021876824919578337,urban_002
promotion,0.41376972760309877,0.012692390644253081,urban_002
temperature,0.40917474059361264,0.01235142328229316,urban_002
lag_3,0.1268736947610702,0.005145044706461591,urban_002
lag_2,0.07290739814210817,0.003594725265361628,urban_002
holiday_flag,0.0023115528795459883,0.001048234317143181,urban_002
lag_1,0.7830070236547052,0.02266505841632453,urban_003
promotion,0.41905220409883387,0.014098559095414277,urban_003
temperature,0.4134936368966148,0.012997195779602946,urban_003
lag_3,0.13206482871610722,0.00465439947702036,urban_003
lag_2,0.07113575731846992,0.002989758253544377,urban_003
holiday_flag,0.003349916757821948,0.0009595824304474285,urban_003
holiday_flag,0.6488691077212791,0.02334485571456034,rural_001
lag_1,0.5595731608067855,0.013767837106148722,rural_001
promotion,0.415333447855708,0.01110597105374938,rural_001
lag_3,0.119781580418158,0.004566985804514654,rural_001
lag_2,0.07519042612811089,0.003194095554545079,rural_001
temperature,0.030607214403812654,0.0015118083990591463,rural_001
holiday_flag,0.6435902969045035,0.01692766820619469,rural_002
lag_1,0.5258588185729283,0.014668802878274267,rural_002
promotion,0.3974058952094306,0.013616734563790577,rural_002
lag_3,0.11952849518573508,0.005801859473837814,rural_002
lag_2,0.08396955500612654,0.003592773106846036,rural_002
temperature,0.02814942550698246,0.0012742463515590424,rural_002
holiday_flag,0.6472054825976281,0.020166028229459423,rural_003
lag_1,0.542376228321267,0.017788761712585817,rural_003
promotion,0.40657804344202686,0.013292115424392442,rural_003
lag_3,0.11827420802086235,0.005456081010335257,rural_003
lag_2,0.0707122783232326,0.0035706433036377695,rural_003
temperature,0.0296496339481227,0.0016651772845338979,rural_003
