levels,lags,params,mean_squared_error__weighted_average,mean_squared_error__average,mean_squared_error__pooling,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,reg_alpha,reg_lambda
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 459, 'learning_rate': 0.0929474362539201, 'num_leaves': 21, 'max_depth': 8, 'min_child_samples': 29, 'reg_alpha': 2.7294040169384375, 'reg_lambda': 0.0001463213583757832}",122.21690692921756,122.21690692921757,122.21690692921757,459.0,0.0929474362539201,21.0,8.0,29.0,2.7294040169384375,0.0001463213583757832
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 434, 'learning_rate': 0.06723764640145748, 'num_leaves': 17, 'max_depth': 12, 'min_child_samples': 28, 'reg_alpha': 2.710298903854636, 'reg_lambda': 0.0003860596399720895}",124.35603454778112,124.35603454778112,124.35603454778114,434.0,0.06723764640145748,17.0,12.0,28.0,2.710298903854636,0.0003860596399720895
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 424, 'learning_rate': 0.07672520226393334, 'num_leaves': 20, 'max_depth': 7, 'min_child_samples': 30, 'reg_alpha': 1.6862993694376163, 'reg_lambda': 0.0032554758228837666}",125.49494760940208,125.49494760940206,125.49494760940209,424.0,0.07672520226393334,20.0,7.0,30.0,1.6862993694376163,0.0032554758228837666
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 458, 'learning_rate': 0.09745885551391308, 'num_leaves': 19, 'max_depth': 7, 'min_child_samples': 41, 'reg_alpha': 0.4017127832693046, 'reg_lambda': 0.0003052519008180777}",126.02781630671642,126.02781630671643,126.0278163067164,458.0,0.09745885551391308,19.0,7.0,41.0,0.4017127832693046,0.0003052519008180777
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 434, 'learning_rate': 0.12140203802514472, 'num_leaves': 18, 'max_depth': 8, 'min_child_samples': 43, 'reg_alpha': 0.8191717269304595, 'reg_lambda': 0.00021510444476673668}",126.47578380469481,126.47578380469483,126.47578380469483,434.0,0.12140203802514472,18.0,8.0,43.0,0.8191717269304595,0.00021510444476673668
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 461, 'learning_rate': 0.078821716989087, 'num_leaves': 15, 'max_depth': 7, 'min_child_samples': 29, 'reg_alpha': 0.19669675852167565, 'reg_lambda': 0.00016609106981091542}",126.66719163790425,126.66719163790425,126.66719163790425,461.0,0.078821716989087,15.0,7.0,29.0,0.19669675852167565,0.00016609106981091542
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 430, 'learning_rate': 0.09061607793009875, 'num_leaves': 15, 'max_depth': 7, 'min_child_samples': 24, 'reg_alpha': 4.588956084310647, 'reg_lambda': 0.0002356495561908419}",126.7826395434198,126.7826395434198,126.7826395434198,430.0,0.09061607793009875,15.0,7.0,24.0,4.588956084310647,0.0002356495561908419
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 445, 'learning_rate': 0.12143099923797131, 'num_leaves': 21, 'max_depth': 6, 'min_child_samples': 50, 'reg_alpha': 0.5860574065583447, 'reg_lambda': 1.767253133163453e-06}",127.35304018054607,127.3530401805461,127.3530401805461,445.0,0.12143099923797131,21.0,6.0,50.0,0.5860574065583447,1.767253133163453e-06
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 438, 'learning_rate': 0.09611942182760391, 'num_leaves': 17, 'max_depth': 7, 'min_child_samples': 42, 'reg_alpha': 2.1791169544233773, 'reg_lambda': 5.636299356695384e-05}",127.58940156830566,127.58940156830565,127.58940156830565,438.0,0.09611942182760391,17.0,7.0,42.0,2.1791169544233773,5.636299356695384e-05
"['urban_001', 'urban_002', 'urban_003', 'rural_001', 'rural_002', 'rural_003']",[1 2 3],"{'n_estimators': 445, 'learning_rate': 0.09549195044085415, 'num_leaves': 17, 'max_depth': 11, 'min_child_samples': 29, 'reg_alpha': 3.3564974247826203, 'reg_lambda': 0.0017634036086094321}",127.81675091374468,127.81675091374468,127.8167509137447,445.0,0.09549195044085415,17.0,11.0,29.0,3.3564974247826203,0.0017634036086094321
