levels,lags,params,mean_squared_error__weighted_average,mean_squared_error__average,mean_squared_error__pooling,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,reg_alpha,reg_lambda
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  2  7 14 21 28],"{'n_estimators': 441, 'learning_rate': 0.055874573945977626, 'num_leaves': 40, 'max_depth': 4, 'min_child_samples': 16, 'reg_alpha': 0.00051611156757311, 'reg_lambda': 0.017353279091115007}",192748.93021827366,192748.9302182737,192748.9302182737,441.0,0.055874573945977626,40.0,4.0,16.0,0.00051611156757311,0.017353279091115007
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  7 14 21 28],"{'n_estimators': 216, 'learning_rate': 0.06252287916406217, 'num_leaves': 30, 'max_depth': 5, 'min_child_samples': 21, 'reg_alpha': 0.00012724181576752517, 'reg_lambda': 0.1165691561324743}",193953.4924742265,193953.49247422648,193953.49247422646,216.0,0.06252287916406217,30.0,5.0,21.0,0.00012724181576752517,0.1165691561324743
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  7 14 21 28],"{'n_estimators': 452, 'learning_rate': 0.11192951874042083, 'num_leaves': 87, 'max_depth': 4, 'min_child_samples': 21, 'reg_alpha': 0.07033720142559564, 'reg_lambda': 0.8425932405416431}",196083.36088696684,196083.36088696684,196083.3608869668,452.0,0.11192951874042083,87.0,4.0,21.0,0.07033720142559564,0.8425932405416431
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  2  7 14 21 28],"{'n_estimators': 406, 'learning_rate': 0.08047669687553072, 'num_leaves': 17, 'max_depth': 6, 'min_child_samples': 24, 'reg_alpha': 0.00775155271689379, 'reg_lambda': 5.549019353461345}",197277.1157036753,197277.11570367528,197277.1157036753,406.0,0.08047669687553072,17.0,6.0,24.0,0.00775155271689379,5.549019353461345
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  2  7 14 21 28],"{'n_estimators': 307, 'learning_rate': 0.09855037243933884, 'num_leaves': 53, 'max_depth': 7, 'min_child_samples': 30, 'reg_alpha': 3.0422532943713992e-05, 'reg_lambda': 3.96798971372959e-05}",200126.0739501199,200126.07395011993,200126.0739501199,307.0,0.09855037243933884,53.0,7.0,30.0,3.0422532943713992e-05,3.96798971372959e-05
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  2  7 14 21 28],"{'n_estimators': 498, 'learning_rate': 0.07262180676555756, 'num_leaves': 16, 'max_depth': 6, 'min_child_samples': 24, 'reg_alpha': 0.012157415219721645, 'reg_lambda': 5.150622987858742}",205138.2505791711,205138.2505791711,205138.25057917112,498.0,0.07262180676555756,16.0,6.0,24.0,0.012157415219721645,5.150622987858742
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  2  7 14 21 28],"{'n_estimators': 272, 'learning_rate': 0.05952526886201953, 'num_leaves': 26, 'max_depth': 4, 'min_child_samples': 11, 'reg_alpha': 3.229094862702854e-07, 'reg_lambda': 0.02643090585573505}",208588.98312251308,208588.98312251308,208588.98312251308,272.0,0.05952526886201953,26.0,4.0,11.0,3.229094862702854e-07,0.02643090585573505
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  2  7 14 21 28],"{'n_estimators': 382, 'learning_rate': 0.06881078699574449, 'num_leaves': 39, 'max_depth': 6, 'min_child_samples': 25, 'reg_alpha': 0.003031550246842598, 'reg_lambda': 3.9018887431684686}",209176.89480493034,209176.8948049303,209176.89480493034,382.0,0.06881078699574449,39.0,6.0,25.0,0.003031550246842598,3.9018887431684686
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  7 14 21 28],"{'n_estimators': 126, 'learning_rate': 0.17160445029754812, 'num_leaves': 124, 'max_depth': 11, 'min_child_samples': 19, 'reg_alpha': 7.569183361880229e-08, 'reg_lambda': 0.014391207615728067}",213500.02935952385,213500.02935952385,213500.02935952385,126.0,0.17160445029754812,124.0,11.0,19.0,7.569183361880229e-08,0.014391207615728067
"['CA_FOODS', 'CA_HOBBIES', 'CA_HOUSEHOLD', 'TX_FOODS', 'TX_HOBBIES', 'TX_HOUSEHOLD', 'WI_FOODS', 'WI_HOBBIES', 'WI_HOUSEHOLD']",[ 1  7 14 21 28],"{'n_estimators': 365, 'learning_rate': 0.02544166090938368, 'num_leaves': 73, 'max_depth': 8, 'min_child_samples': 13, 'reg_alpha': 5.324289357128436, 'reg_lambda': 0.09466630153726856}",231111.30049232027,231111.30049232024,231111.3004923202,365.0,0.02544166090938368,73.0,8.0,13.0,5.324289357128436,0.09466630153726856
